i,U,K,Px,Py,Pz,Ne
181,-143486202.6615585,71104787.28743039,1022.6976411908795,1788.3751086871894,471.3241653483958,8.0
182,-143640015.34735334,71331692.73818982,1022.6976411750859,1788.3751086871694,471.3241653484023,8.0
183,-143799333.03029484,71503880.14028187,1022.6976411535227,1788.3751086871594,471.3241653483504,8.0
184,-143964668.71221823,71679861.4796427,1022.6976411814194,1788.3751086871546,471.32416534842224,8.0
185,-144135943.60729873,71860603.2609917,1022.6976411797399,1788.3751086871616,471.32416534839723,8.0
186,-144313868.87802494,72056237.95495173,1022.6976411917127,1788.375108687205,471.3241653483721,8.0
187,-144498214.0324001,72259472.5383893,1022.6976411826217,1788.37510868722,471.3241653484066,8.0
188,-144689233.296359,72468503.47615173,1022.6976411653661,1788.3751086871837,471.3241653483856,8.0
189,-144886028.03645027,72673598.14635342,1022.6976411591318,1788.3751086871778,471.32416534839444,8.0
190,-145090689.281349,72888542.24117735,1022.6976412042915,1788.3751086871541,471.3241653484032,8.0
191,-145301354.04475072,73111336.17084254,1022.697641173191,1788.3751086872123,471.32416534842775,8.0
192,-145517287.09235972,73339551.50569093,1022.6976411910058,1788.375108687089,471.3241653483528,8.0
193,-145739979.77540857,73569457.89631166,1022.6976411688061,1788.3751086871828,471.32416534836887,8.0
194,-145967867.45849606,73810480.72067644,1022.6976411745209,1788.3751086871516,471.3241653484118,8.0
195,-146201672.00291187,74058801.27578057,1022.6976411746579,1788.3751086871496,471.32416534834636,8.0
196,-146441032.005285,74350378.5572324,1022.6976411577288,1788.375108687164,471.3241653484189,10.0
197,-146683164.27891415,74736337.46184278,1022.6976411988534,1788.3751086871744,471.32416534837466,10.0
198,-146931522.50714597,75013415.28823504,1022.6976411657671,1788.3751086871719,471.3241653484307,10.0
199,-147185673.6612619,75290071.83996654,1022.6976411987266,1788.3751086872198,471.32416534844225,10.0
200,-147444683.39890856,75582895.67087956,1022.697641190786,1788.3751086871882,471.32416534841866,10.0
201,-147708699.93955925,75860841.61477295,1022.6976411690989,1788.3751086870932,471.3241653483996,10.0
202,-147978202.72589105,76149925.05728984,1022.6976411985763,1788.3751086872205,471.3241653483933,10.0
203,-148253027.27024072,76434011.24972361,1022.6976412033011,1788.3751086871393,471.32416534848835,10.0
204,-148534177.22975796,76726672.74809948,1022.6976411585498,1788.3751086871441,471.3241653483991,10.0
205,-148822357.03403637,77031855.80100909,1022.6976411728434,1788.3751086871935,471.3241653483631,10.0
206,-149117172.1348096,77348713.06254052,1022.697641195676,1788.375108687161,471.32416534841747,10.0
207,-149419289.3213452,77678288.70781554,1022.6976411819277,1788.3751086871257,471.3241653484976,10.0
208,-149728104.97180602,78235024.63754535,1022.6976411582134,1788.375108687135,471.3241653483594,10.0
209,-150042812.9619801,78352953.9683164,1022.69764117682,1788.3751086871841,471.32416534850364,12.0
210,-150366523.17848513,78724185.18538032,1022.697641189734,1788.3751086872342,471.32416534832043,12.0
211,-150699851.15315244,79112106.5870451,1022.6976411931195,1788.3751086871341,471.32416534828536,12.0
212,-151042350.8104444,79586478.07924728,1022.6976411734898,1788.3751086871996,471.32416534830435,12.0
213,-151394920.98496374,79982247.7899132,1022.6976411795963,1788.375108687115,471.32416534833703,12.0
214,-151757563.3274492,80383656.72492613,1022.6976411591702,1788.375108687133,471.3241653484071,12.0
215,-152131997.35368755,80769462.56934848,1022.6976411902144,1788.3751086871648,471.3241653484531,12.0
216,-152519167.1831537,81174489.0262509,1022.6976411920123,1788.3751086871232,471.32416534834067,12.0
217,-152918017.7366942,81616950.57755466,1022.6976411740517,1788.3751086871885,471.32416534845356,14.0
218,-153327192.49625155,82047322.6662708,1022.6976411843408,1788.3751086871473,471.3241653484547,14.0
219,-153753095.83877325,82502494.11358717,1022.6976411980553,1788.375108687232,471.32416534845555,14.0
220,-154193521.87630647,83001512.77772786,1022.6976411975454,1788.3751086872114,471.3241653483557,14.0
221,-154649579.48782843,83468017.73872319,1022.6976411961227,1788.3751086871546,471.32416534838694,14.0
222,-155122097.66257298,83950467.93935104,1022.6976411625353,1788.3751086872467,471.3241653483483,16.0
223,-155607910.98282328,84448488.03659084,1022.6976411561627,1788.3751086872182,471.324165348396,16.0
224,-156115279.312501,84976014.3694044,1022.6976411999684,1788.3751086871548,471.3241653484374,16.0
225,-156640456.4131675,85560268.80067769,1022.6976412221425,1788.3751086871416,471.32416534845487,16.0
226,-157185780.72880173,86116506.99917962,1022.6976411708894,1788.3751086871785,471.32416534833476,16.0
227,-157751820.83810052,86704027.31869905,1022.697641174387,1788.3751086871366,471.32416534847766,16.0
228,-158338905.78837883,87308073.2055038,1022.6976411879695,1788.3751086872187,471.32416534846635,16.0
229,-158948614.047146,87941175.40783136,1022.697641186058,1788.375108687175,471.3241653483607,16.0
230,-159580860.33006838,88588280.11845481,1022.6976411737752,1788.3751086871735,471.32416534842736,16.0
231,-160238295.31285325,89257037.28740521,1022.697641182417,1788.3751086871641,471.32416534837256,16.0
232,-160921537.39899004,89949708.73446524,1022.6976411659182,1788.3751086871707,471.3241653484788,16.0
233,-161631950.6263193,90692825.00144498,1022.6976411620403,1788.3751086871775,471.3241653484078,16.0
234,-162371140.46996024,91504972.831145,1022.6976412106671,1788.3751086871982,471.3241653484969,16.0
235,-163139378.28608286,92287092.67243536,1022.69764119902,1788.3751086871923,471.3241653484104,16.0
236,-163938351.5063169,93104041.56750134,1022.69764118677,1788.3751086871825,471.3241653484592,16.0
237,-164770759.2662284,93953023.22671197,1022.6976411525045,1788.3751086872137,471.32416534827587,16.0
238,-165638076.59889954,94842800.56756344,1022.6976411765371,1788.3751086871819,471.3241653484863,16.0
239,-166542769.9514655,95770750.24821614,1022.6976411897178,1788.3751086871978,471.3241653483795,16.0
240,-167487358.4562109,96733047.85705046,1022.6976411838614,1788.375108687126,471.3241653483017,16.0
241,-168473913.427829,97737550.28860973,1022.6976411883127,1788.375108687218,471.3241653485406,16.0
242,-169506278.78246787,98788901.98653314,1022.6976412146065,1788.37510868722,471.32416534845896,16.0
243,-170588836.4840953,99891808.36431235,1022.6976411666828,1788.3751086871448,471.32416534841724,16.0
244,-171724540.52783567,101042437.72234862,1022.6976412029784,1788.3751086871855,471.32416534839973,16.0
245,-172918643.20174772,102250522.19279385,1022.6976411573761,1788.3751086871646,471.32416534857384,16.0
246,-174174476.2424614,103517864.00953713,1022.6976411653773,1788.3751086871484,471.3241653484222,16.0
247,-175498434.06980032,104857434.97981107,1022.6976411917859,1788.3751086871157,471.324165348417,16.0
248,-176894835.12519252,106270747.0960981,1022.6976411590861,1788.3751086872874,471.32416534840615,16.0
249,-178370109.10684264,107770970.32821336,1022.6976411433648,1788.375108687314,471.3241653483818,16.0
250,-179929729.9678399,109377637.83469185,1022.6976411981477,1788.3751086872985,471.3241653484894,18.0
251,-181575638.0103119,111035527.32167429,1022.6976411793563,1788.3751086870602,471.32416534847243,18.0
252,-183321088.11812696,112799734.23310463,1022.6976411936747,1788.3751086871312,471.32416534833214,18.0
253,-185171596.64453343,114710230.18594277,1022.6976411498632,1788.375108687132,471.32416534838825,18.0
