i,U,K,Px,Py,Pz,Ne
46,-91278833.48056929,52464003.208981276,-4244.551162620653,6859.407855929541,-3741.1467963339824,11.0
47,-91254078.33266716,52454165.25214851,-4244.551162620675,6859.407855929514,-3741.1467963341465,14.0
48,-91167753.18464622,52411683.91500571,-4244.5511626206735,6859.40785592944,-3741.146796334095,14.0
49,-91024223.65493202,52304336.10978371,-4244.551162620684,6859.40785592948,-3741.1467963341274,14.0
50,-90825833.70891944,52157984.60203371,-4244.551162620644,6859.407855929514,-3741.1467963341,14.0
51,-90579200.24866615,51967905.48316683,-4244.551162620673,6859.4078559296795,-3741.146796334241,14.0
52,-90288777.04095647,51716888.031694956,-4244.551162620665,6859.407855929527,-3741.146796334082,16.0
53,-89961327.16408004,51441955.324101985,-4244.551162620647,6859.407855929553,-3741.1467963340456,16.0
54,-89606717.15944193,51119743.04607293,-4244.551162620707,6859.407855929507,-3741.146796334003,18.0
55,-89227567.50197436,50811875.49340406,-4244.551162620592,6859.407855929593,-3741.1467963341506,20.0
56,-88832679.77604055,50450928.86574862,-4244.551162620719,6859.407855929548,-3741.14679633406,22.0
57,-88428963.73472156,50092508.01222989,-4244.551162620619,6859.407855929519,-3741.1467963340983,24.0
58,-88017750.69211304,49731930.505614005,-4244.551162620563,6859.407855929509,-3741.146796334018,24.0
59,-87601101.72638829,49388518.78306037,-4244.551162620651,6859.407855929671,-3741.1467963340233,24.0
60,-87177252.88408396,49001555.81709944,-4244.5511626207135,6859.407855929587,-3741.146796334029,26.0
61,-86747874.52892311,48605479.22410371,-4244.5511626206535,6859.407855929524,-3741.1467963340824,28.0
62,-86313647.9583559,48190538.70735174,-4244.551162620684,6859.407855929591,-3741.146796333968,30.0
63,-85877660.06655534,47812085.43555302,-4244.55116262068,6859.407855929562,-3741.1467963341156,30.0
64,-85442979.62897187,47421907.21105534,-4244.551162620679,6859.407855929514,-3741.1467963340947,30.0
65,-85012207.56772947,47043155.34931763,-4244.551162620676,6859.4078559295085,-3741.14679633394,29.0
66,-84587572.4557087,46671333.40513217,-4244.55116262074,6859.4078559295485,-3741.146796334143,31.0
67,-84169093.54582214,46311033.85170541,-4244.551162620755,6859.407855929614,-3741.1467963340924,32.0
68,-83758777.43218288,45938610.89824028,-4244.551162620722,6859.407855929554,-3741.1467963340942,34.0
69,-83360257.40782937,45578997.49547625,-4244.551162620675,6859.407855929546,-3741.1467963341256,34.0
70,-82974664.99933426,45226910.671503186,-4244.551162620684,6859.407855929535,-3741.1467963340356,34.0
71,-82601493.71367647,44906014.39450223,-4244.551162620579,6859.407855929508,-3741.146796334091,34.0
72,-82241000.20876265,44603952.50881197,-4244.551162620675,6859.407855929551,-3741.146796334023,34.0
73,-81894797.85031913,44256704.476193555,-4244.551162620689,6859.407855929592,-3741.146796334005,36.0
74,-81562518.06125103,43946681.149526015,-4244.551162620627,6859.407855929644,-3741.146796334147,36.0
75,-81248242.76238298,43651368.25544621,-4244.551162620683,6859.407855929626,-3741.146796334177,36.0
76,-80951096.90138659,43377260.39634383,-4244.551162620698,6859.407855929597,-3741.1467963340783,38.0
77,-80666639.36998557,43128247.50916872,-4244.551162620691,6859.40785592958,-3741.146796334158,38.0
